iter	Passed	Remaining
402	10113	240838
403	10138	240804
404	10164	240799
405	10192	240855
406	10220	240891
407	10246	240887
408	10269	240819
409	10292	240754
410	10319	240763
411	10339	240624
412	10364	240592
413	10386	240499
414	10412	240489
415	10439	240507
416	10466	240535
417	10492	240528
418	10518	240512
419	10545	240534
420	10570	240519
421	10596	240502
422	10618	240400
423	10639	240289
424	10660	240167
425	10680	240035
426	10704	239980
427	10731	239993
428	10755	239963
429	10779	239907
430	10805	239895
431	10828	239823
432	10847	239677
433	10867	239544
434	10890	239465
435	10914	239420
436	10935	239303
437	10959	239247
438	10982	239192
439	11004	239103
440	11028	239056
441	11048	238923
442	11072	238872
443	11093	238769
444	11119	238764
445	11142	238684
446	11164	238606
447	11189	238586
448	11215	238568
449	11238	238507
450	11261	238432
451	11286	238417
452	11306	238286
453	11333	238292
454	11355	238210
455	11375	238082
456	11402	238110
457	11428	238104
458	11454	238093
459	11482	238131
460	11509	238157
461	11535	238154
462	11560	238123
463	11588	238153
464	11612	238122
465	11641	238179
466	11666	238156
467	11694	238181
468	11718	238138
469	11743	238117
470	11772	238177
471	12136	244997
472	12278	247309
473	12470	250630
474	12530	251263
475	12610	252321
476	12659	252747
477	12709	253187
478	12755	253542
479	12807	254014
480	12838	254077
481	12865	254051
482	12897	254135
483	12928	254187
484	12957	254215
485	12986	254216
486	13016	254259
487	13042	254218
488	13066	254140
489	13095	254167
490	13120	254098
491	13147	254073
492	13176	254103
493	13202	254063
494	13232	254098
495	13258	254041
496	13282	253965
497	13312	254007
498	13339	253983
499	13367	253980
500	13390	253885
501	13415	253820
502	13436	253682
503	13457	253553
504	13483	253516
505	13504	253390
506	13527	253290
507	13550	253194
508	13571	253059
509	13591	252917
510	13614	252807
511	13643	252827
512	13664	252701
513	13687	252604
514	13708	252481
515	13732	252398
516	13752	252260
517	13774	252139
518	13801	252121
519	13821	251967
520	13845	251906
521	13868	251819
522	13895	251794
523	13919	251727
524	13940	251585
525	13961	251458
526	13983	251361
527	14013	251388
528	14034	251274
529	14059	251206
530	14082	251123
531	14101	250971
532	14122	250835
533	14143	250719
534	14168	250657
535	14192	250589
536	14215	250499
537	14237	250391
538	14258	250269
539	14280	250177
540	14306	250146
541	14331	250093
542	14356	250031
543	14378	249933
544	14400	249821
545	14435	249943
546	14468	250038
547	14498	250070
548	14525	250055
549	14552	250044
550	14576	249973
551	14599	249887
552	14621	249777
553	14643	249685
554	14665	249571
555	14689	249504
556	14713	249447
557	14741	249435
558	14765	249375
559	14788	249285
560	14809	249179
561	14832	249086
562	14853	248972
563	14876	248884
564	14898	248784
565	14921	248715
566	14945	248642
567	14971	248606
568	14995	248550
569	15018	248462
570	15044	248430
571	15067	248354
572	15094	248341
573	15115	248221
574	15140	248165
575	15162	248070
576	15185	247988
577	15208	247915
578	15230	247822
579	15255	247763
580	15277	247673
581	15298	247564
582	15318	247437
583	15343	247390
584	15365	247291
585	15386	247177
586	15409	247108
587	15432	247018
588	15452	246905
589	15473	246796
590	15495	246690
591	15516	246592
592	15539	246508
593	15559	246389
594	15581	246296
595	15601	246171
596	15626	246122
597	15650	246058
598	15671	245958
599	15694	245881
600	15717	245808
601	15736	245672
602	15757	245563
603	15781	245500
604	15801	245383
605	15824	245311
606	15844	245183
607	15867	245117
608	15889	245016
609	15910	244919
610	15930	244793
611	15952	244704
612	15973	244602
613	15994	244501
614	16015	244405
615	16040	244361
616	16062	244268
617	16086	244216
618	16106	244095
619	16130	244032
620	16151	243935
621	16173	243854
622	16196	243775
623	16220	243723
624	16246	243693
625	16270	243641
626	16291	243543
627	16315	243479
628	16334	243358
629	16359	243314
630	16384	243278
631	16407	243206
632	16429	243113
633	16448	242992
634	16468	242879
635	16491	242805
636	16516	242775
637	16540	242716
638	16564	242656
639	16586	242572
640	16608	242492
641	16629	242390
642	16649	242288
643	16671	242205
644	16697	242181
645	16720	242113
646	16746	242080
647	16772	242063
648	16795	241996
649	16819	241940
650	16843	241891
651	16866	241821
652	16887	241727
653	16912	241687
654	16938	241658
655	16959	241570
656	16981	241482
657	17006	241450
658	17029	241386
659	17052	241312
660	17073	241230
661	17093	241122
662	17114	241022
663	17135	240926
664	17156	240832
665	17178	240763
666	17202	240708
667	17228	240680
668	17252	240634
669	17274	240555
670	17300	240528
671	17322	240446
672	17344	240378
673	17366	240298
674	17388	240214
675	17411	240149
676	17435	240107
677	17459	240048
678	17481	239979
679	17504	239916
680	17527	239856
681	17549	239776
682	17568	239662
683	17590	239580
684	17614	239535
685	17635	239445
686	17655	239334
687	17679	239287
688	17701	239212
689	17722	239129
690	17747	239094
691	17772	239052
692	17796	239002
693	17816	238910
694	17837	238813
695	17859	238747
696	17886	238730
697	17909	238677
698	17931	238603
699	17955	238545
700	17981	238524
701	18007	238503
702	18027	238411
703	18050	238354
704	18074	238305
705	18097	238240
706	18119	238171
707	18142	238108
708	18165	238042
709	18190	238007
710	18212	237937
711	18236	237898
712	18258	237815
713	18282	237770
714	18303	237686
715	18325	237616
716	18346	237530
717	18372	237513
718	18394	237444
719	18417	237380
720	18443	237354
721	18465	237287
722	18488	237234
723	18512	237186
724	18539	237174
725	18559	237087
726	18580	236999
727	18603	236937
728	18628	236903
729	18650	236837
730	18669	236727
731	18692	236672
732	18714	236600
733	18738	236560
734	18760	236480
735	18786	236470
736	18814	236472
737	18840	236451
738	18864	236406
739	18889	236376
740	18913	236323
741	18936	236270
742	18962	236249
743	18989	236243
744	19011	236182
745	19034	236119
746	19055	236037
747	19080	236003
748	19104	235956
749	19125	235885
750	19148	235820
751	19173	235794
752	19196	235738
753	19220	235694
754	19243	235633
755	19268	235610
756	19294	235587
757	19316	235515
758	19339	235461
759	19365	235439
760	19387	235381
761	19415	235378
762	19437	235318
763	19459	235248
764	19485	235221
765	19508	235173
766	19530	235104
767	19553	235044
768	19574	234974
769	19597	234913
770	19618	234840
771	19640	234771
772	19662	234709
773	19687	234667
774	19710	234614
775	19735	234591
776	19758	234534
777	19781	234474
778	19806	234446
779	19827	234374
780	19851	234332
781	19874	234269
782	19895	234192
783	19915	234107
784	19940	234073
785	19962	234008
786	19985	233956
787	20009	233921
788	20031	233849
789	20058	233851
790	20083	233814
791	20103	233731
792	20125	233659
793	20148	233616
794	20170	233541
795	20192	233479
796	20216	233443
797	20243	233437
798	20265	233366
799	20291	233352
800	20312	233278
801	20335	233223
802	20358	233176
803	20385	233167
804	20409	233120
805	20432	233068
806	20455	233020
807	20477	232953
808	20501	232921
809	20523	232853
810	20547	232815
811	20569	232745
812	20592	232702
813	20614	232635
814	20637	232586
815	20661	232544
816	20687	232520
817	20708	232456
818	20727	232357
819	20751	232312
820	20774	232259
821	20796	232201
822	20819	232154
823	20846	232139
824	20868	232086
825	20896	232089
826	20921	232063
827	20945	232020
828	20968	231974
829	20990	231905
830	21017	231903
831	21038	231832
832	21061	231782
833	21085	231737
834	21109	231696
835	21133	231655
836	21160	231652
837	21185	231622
838	21211	231604
839	21234	231558
840	21259	231524
841	21281	231463
842	21303	231408
843	21326	231360
844	21351	231327
845	21377	231315
846	21400	231265
847	21424	231226
848	21450	231210
849	21469	231117
850	21491	231048
851	21516	231026
852	21541	231001
853	21563	230936
854	21583	230851
855	21607	230812
856	21629	230758
857	21651	230692
858	21675	230662
859	21698	230606
860	21724	230588
861	21745	230525
862	21770	230499
863	21794	230453
864	21817	230410
865	21841	230367
866	21863	230312
867	21885	230249
868	21910	230224
869	21938	230225
870	21965	230225
871	21989	230182
872	22011	230127
873	22037	230106
874	22060	230061
875	22082	230001
876	22106	229961
877	22128	229908
878	22152	229868
879	22175	229821
880	22200	229789
881	22222	229728
882	22247	229707
883	22271	229666
884	22294	229619
885	22319	229595
886	22340	229526
887	22362	229467
888	22388	229450
889	22412	229415
890	22438	229392
891	22462	229360
892	22484	229304
893	22511	229295
894	22535	229253
895	22560	229230
896	22583	229180
897	22607	229146
898	22628	229078
899	22650	229019
900	22673	228979
901	22700	228968
902	22725	228944
903	22754	228954
904	22779	228923
905	22803	228893
906	22825	228832
907	22853	228837
908	22878	228806
909	22903	228783
910	22928	228754
911	22949	228686
912	22970	228619
913	22991	228557
914	23016	228530
915	23042	228510
916	23068	228492
917	23091	228454
918	23117	228431
919	23143	228415
920	23168	228387
921	23189	228321
922	23210	228258
923	23233	228213
924	23256	228169
925	23279	228119
926	23304	228091
927	23327	228043
928	23347	227974
929	23368	227907
930	23390	227853
931	23414	227814
932	23440	227794
933	23462	227741
934	23482	227662
935	23505	227622
936	23529	227588
937	23551	227526
938	23576	227502
939	23597	227435
940	23620	227395
941	23641	227330
942	23661	227258
943	23680	227168
944	23705	227149
945	23728	227103
946	23750	227045
947	23776	227032
948	23797	226970
949	23820	226926
950	23842	226868
951	23869	226861
952	23895	226840
953	23918	226800
954	23944	226781
955	23967	226737
956	23991	226701
957	24012	226644
958	24036	226609
959	24059	226562
960	24081	226502
961	24102	226438
962	24127	226416
963	24155	226418
964	24182	226411
965	24204	226362
966	24233	226368
967	24257	226337
968	24280	226295
969	24305	226266
970	24329	226227
971	24356	226225
972	24390	226286
973	24419	226296
974	24451	226337
975	24480	226344
976	24505	226322
977	24533	226315
978	24556	226275
979	24585	226284
980	24615	226308
981	24644	226314
982	24668	226284
983	24694	226266
984	24718	226227
985	24740	226179
986	24763	226130
987	24791	226131
988	24817	226114
989	24844	226105
990	24869	226087
991	24891	226033
992	24915	226000
993	24939	225964
994	24963	225929
995	24989	225911
996	25015	225893
997	25043	225890
998	25068	225864
999	25090	225817
1000	25116	225794
1001	25139	225755
1002	25162	225713
1003	25187	225680
1004	25211	225648
1005	25236	225626
1006	25258	225568
1007	25283	225542
1008	25305	225488
1009	25328	225451
1010	25351	225402
1011	25374	225358
1012	25399	225334
1013	25420	225277
1014	25444	225239
1015	25467	225200
1016	25493	225177
1017	25515	225125
1018	25536	225068
1019	25559	225025
1020	25584	224998
1021	25606	224948
1022	25633	224940
1023	25657	224901
1024	25679	224854
1025	25705	224833
1026	25732	224826
1027	25755	224780
1028	25779	224753
1029	25802	224703
1030	25823	224645
1031	25848	224617
1032	25873	224596
1033	25898	224572
1034	25918	224500
1035	25942	224465
1036	25963	224411
1037	25988	224384
1038	26011	224342
1039	26037	224326
1040	26062	224294
1041	26088	224282
1042	26110	224231
1043	26137	224222
1044	26160	224183
1045	26188	224175
1046	26210	224130
1047	26232	224077
1048	26257	224048
1049	26282	224024
1050	26305	223985
1051	26331	223968
1052	26360	223973
1053	26385	223953
1054	26412	223943
1055	26436	223911
1056	26460	223877
1057	26481	223819
1058	26505	223781
1059	26530	223754
1060	26550	223688
1061	26575	223661
1062	26598	223623
1063	26653	223851
1064	27120	227534
1065	27217	228104
1066	27274	228344
1067	27347	228711
1068	27483	229613
1069	27507	229570
1070	27537	229586
1071	27565	229573
1072	27596	229591
1073	27628	229617
1074	27657	229619
1075	27688	229640
1076	27718	229646
1077	27746	229642
1078	27771	229610
1079	27794	229563
1080	27820	229542
1081	27844	229501
1082	27870	229478
1083	27896	229447
1084	27920	229413
1085	27947	229391
1086	27970	229345
1087	27992	229294
1088	28016	229254
1089	28038	229192
1090	28061	229143
1091	28087	229122
1092	28110	229075
1093	28130	229005
1094	28153	228952
1095	28177	228916
1096	28198	228853
1097	28225	228839
1098	28253	228826
1099	28277	228793
1100	28302	228759
1101	28328	228734
1102	28353	228708
1103	28377	228666
1104	28404	228649
1105	28429	228620
1106	28452	228570
1107	28475	228522
1108	28496	228463
1109	28519	228409
1110	28545	228389
1111	28569	228347
1112	28591	228293
1113	28614	228252
1114	28641	228234
1115	28662	228173
1116	28686	228133
1117	28709	228087
1118	28734	228052
1119	28757	228005
1120	28783	227982
1121	28805	227931
1122	28827	227876
1123	28851	227835
1124	28875	227795
1125	28895	227725
1126	28915	227657
1127	28936	227594
1128	28957	227533
1129	28982	227496
1130	29004	227444
1131	29024	227377
1132	29047	227331
1133	29070	227286
1134	29094	227241
1135	29118	227207
1136	29144	227184
1137	29169	227149
1138	29194	227120
1139	29217	227076
1140	29243	227053
1141	29264	226993
1142	29288	226955
1143	29310	226897
1144	29334	226864
1145	29356	226808
1146	29383	226793
1147	29408	226760
1148	29434	226741
1149	29458	226705
1150	29484	226680
1151	29508	226644
1152	29533	226608
1153	29559	226588
1154	29581	226535
1155	29605	226500
1156	29626	226433
1157	29650	226399
1158	29673	226352
1159	29697	226315
1160	29717	226249
1161	29740	226204
1162	29763	226153
1163	29787	226115
1164	29809	226069
1165	29832	226023
1166	29855	225976
1167	29876	225916
1168	29899	225868
1169	29923	225832
1170	29944	225769
1171	29968	225732
1172	29992	225697
1173	30016	225663
1174	30040	225621
1175	30064	225587
1176	30089	225555
1177	30112	225508
1178	30135	225467
1179	30159	225426
1180	30181	225377
1181	30207	225355
1182	30229	225301
1183	30254	225273
1184	30277	225228
1185	30301	225194
1186	30324	225145
1187	30347	225104
1188	30370	225061
1189	30392	225003
1190	30413	224949
1191	30434	224890
1192	30456	224836
1193	30478	224783
1194	30502	224745
1195	30523	224686
1196	30544	224633
1197	30569	224601
1198	30591	224552
1199	30614	224509
1200	30638	224472
1201	30662	224432
1202	30688	224408
1203	30711	224368
1204	30731	224304
1205	30753	224249
1206	30776	224206
1207	30801	224177
1208	30825	224138
1209	30848	224097
1210	30871	224052
1211	30894	224007
1212	30918	223972
1213	30941	223930
1214	30962	223871
1215	30986	223838
1216	31007	223779
1217	31031	223745
1218	31056	223717
1219	31078	223662
1220	31100	223612
1221	31123	223569
1222	31147	223532
1223	31170	223492
1224	31193	223448
1225	31215	223397
1226	31240	223365
1227	31261	223314
1228	31285	223274
1229	31306	223220
1230	31330	223183
1231	31357	223164
1232	31381	223130
1233	31404	223089
1234	31428	223050
1235	31451	223010
1236	31475	222977
1237	31499	222941
1238	31522	222897
1239	31548	222873
1240	31570	222825
1241	31594	222787
1242	31614	222726
1243	31635	222666
1244	31656	222614
1245	31678	222565
1246	31701	222523
1247	31727	222497
1248	31750	222459
1249	31774	222422
1250	31799	222391
1251	31823	222357
1252	31845	222308
1253	31870	222280
1254	31893	222239
1255	31916	222195
1256	31942	222176
1257	31967	222145
1258	31988	222090
1259	32010	222042
1260	32034	222005
1261	32055	221947
1262	32078	221904
1263	32102	221876
1264	32127	221844
1265	32149	221794
1266	32173	221760
1267	32197	221728
1268	32219	221680
1269	32244	221646
1270	32269	221624
1271	32294	221590
1272	32316	221547
1273	32340	221509
1274	32362	221462
1275	32385	221416
1276	32406	221366
1277	32428	221318
1278	32461	221341
1279	32489	221333
1280	32519	221337
1281	32543	221302
1282	32568	221281
1283	32595	221264
1284	32622	221247
1285	32642	221189
1286	32670	221176
1287	32695	221150
1288	32721	221129
1289	32742	221078
1290	32766	221042
1291	32788	220989
1292	32811	220950
1293	32833	220905
1294	32859	220880
1295	32882	220841
1296	32907	220811
1297	32929	220767
1298	32955	220741
1299	32981	220720
1300	33003	220674
1301	33028	220643
1302	33053	220618
1303	33078	220591
1304	33103	220565
1305	33133	220565
1306	33169	220614
1307	33198	220612
1308	33223	220582
1309	33249	220563
1310	33270	220507
1311	33292	220462
1312	33315	220419
1313	33342	220407
1314	33368	220381
1315	33394	220363
1316	33418	220328
1317	33441	220290
1318	33464	220248
1319	33488	220215
1320	33509	220160
1321	33534	220132
1322	33556	220084
1323	33578	220036
1324	33601	219991
1325	33623	219949
1326	33646	219904
1327	33668	219860
1328	33688	219795
1329	33710	219752
1330	33733	219711
1331	33758	219685
1332	33782	219650
1333	33808	219627
1334	33831	219589
1335	33851	219525
1336	33874	219490
1337	33899	219460
1338	33923	219427
1339	33948	219395
1340	33969	219346
1341	33991	219296
1342	34015	219265
1343	34042	219251
1344	34068	219226
1345	34090	219180
1346	34114	219149
1347	34141	219131
1348	34164	219091
1349	34189	219069
1350	34212	219024
1351	34236	218991
